Year,Month,Group,State,Age Group,COVID-19 Deaths
2020,1,By Month,Alabama,0-24,0
2020,1,By Month,Alabama,25-34,0
2020,1,By Month,Alabama,35-44,0
2020,1,By Month,Alabama,45-54,0
2020,1,By Month,Alabama,55-64,0
2020,1,By Month,Alabama,65-74,0
2020,1,By Month,Alabama,75-84,0
2020,1,By Month,Alabama,85+,0
2020,1,By Month,Alabama,Not stated,0
2020,2,By Month,Alabama,0-24,0
2020,2,By Month,Alabama,25-34,0
2020,2,By Month,Alabama,35-44,0
2020,2,By Month,Alabama,45-54,0
2020,2,By Month,Alabama,55-64,0
2020,2,By Month,Alabama,65-74,0
2020,2,By Month,Alabama,75-84,0
2020,2,By Month,Alabama,85+,0
2020,2,By Month,Alabama,Not stated,0
2020,3,By Month,Alabama,0-24,0
2020,3,By Month,Alabama,25-34,0
2020,3,By Month,Alabama,35-44,0
2020,3,By Month,Alabama,45-54,0
2020,3,By Month,Alabama,55-64,0
2020,3,By Month,Alabama,65-74,14
2020,3,By Month,Alabama,75-84,0
2020,3,By Month,Alabama,85+,10
2020,3,By Month,Alabama,Not stated,0
2020,4,By Month,Alabama,0-24,0
2020,4,By Month,Alabama,25-34,0
2020,4,By Month,Alabama,35-44,0
2020,4,By Month,Alabama,45-54,20
2020,4,By Month,Alabama,55-64,53
2020,4,By Month,Alabama,65-74,87
2020,4,By Month,Alabama,75-84,92
2020,4,By Month,Alabama,85+,80
2020,4,By Month,Alabama,Not stated,0
2020,5,By Month,Alabama,0-24,0
2020,5,By Month,Alabama,25-34,0
2020,5,By Month,Alabama,35-44,10
2020,5,By Month,Alabama,45-54,27
2020,5,By Month,Alabama,55-64,51
2020,5,By Month,Alabama,65-74,100
2020,5,By Month,Alabama,75-84,109
2020,5,By Month,Alabama,85+,129
2020,5,By Month,Alabama,Not stated,0
2020,6,By Month,Alabama,0-24,0
2020,6,By Month,Alabama,25-34,0
2020,6,By Month,Alabama,35-44,13
2020,6,By Month,Alabama,45-54,29
2020,6,By Month,Alabama,55-64,61
2020,6,By Month,Alabama,65-74,108
2020,6,By Month,Alabama,75-84,105
2020,6,By Month,Alabama,85+,78
2020,6,By Month,Alabama,Not stated,0
2020,7,By Month,Alabama,0-24,0
2020,7,By Month,Alabama,25-34,0
2020,7,By Month,Alabama,35-44,22
2020,7,By Month,Alabama,45-54,45
2020,7,By Month,Alabama,55-64,127
2020,7,By Month,Alabama,65-74,211
2020,7,By Month,Alabama,75-84,227
2020,7,By Month,Alabama,85+,238
2020,7,By Month,Alabama,Not stated,0
2020,8,By Month,Alabama,0-24,0
2020,8,By Month,Alabama,25-34,0
2020,8,By Month,Alabama,35-44,18
2020,8,By Month,Alabama,45-54,63
2020,8,By Month,Alabama,55-64,139
2020,8,By Month,Alabama,65-74,233
2020,8,By Month,Alabama,75-84,255
2020,8,By Month,Alabama,85+,247
2020,8,By Month,Alabama,Not stated,0
2020,9,By Month,Alabama,0-24,0
2020,9,By Month,Alabama,25-34,0
2020,9,By Month,Alabama,35-44,10
2020,9,By Month,Alabama,45-54,29
2020,9,By Month,Alabama,55-64,67
2020,9,By Month,Alabama,65-74,138
2020,9,By Month,Alabama,75-84,178
2020,9,By Month,Alabama,85+,139
2020,9,By Month,Alabama,Not stated,0
2020,10,By Month,Alabama,0-24,0
2020,10,By Month,Alabama,25-34,0
2020,10,By Month,Alabama,35-44,12
2020,10,By Month,Alabama,45-54,25
2020,10,By Month,Alabama,55-64,78
2020,10,By Month,Alabama,65-74,150
2020,10,By Month,Alabama,75-84,171
2020,10,By Month,Alabama,85+,118
2020,10,By Month,Alabama,Not stated,0
2020,11,By Month,Alabama,0-24,0
2020,11,By Month,Alabama,25-34,0
2020,11,By Month,Alabama,35-44,12
2020,11,By Month,Alabama,45-54,35
2020,11,By Month,Alabama,55-64,104
2020,11,By Month,Alabama,65-74,197
2020,11,By Month,Alabama,75-84,228
2020,11,By Month,Alabama,85+,186
2020,11,By Month,Alabama,Not stated,0
2020,12,By Month,Alabama,0-24,0
